,text,target
0,mulai bosan tidak memang hidup terus jalan rintang tetap lawan,0
1,hidup pernah bosan tetapi bagi orang pilih bosan,0
2,tetap pulang rumah adalah solusi hidup sana buat kamu bosan,0
3,oii bajak aku bosan hidup bilang,0
4,bosan hidup cebong betina,0
5,rasa pernah bosan pandang langit mungkin suatu aku beri rasa sama pandang cipta jadi teman hidup,0
6,bosan hidup sendiri orang jomblo nekat nikah pohon jambu batang kara,0
7,jika kau rasa bosan hidup mungkin kau sedang lalu titik mana kau harap apa hidup,0
8,tiap orang pernah rasa bosan tapi jangan pernah rasa bosan hidup udah aja,0
9,bosan pak sama demo dikit dikit demo saya lama hidup saya gak pernah demo biasa aja memang mahasiswa sekolah demo liput media kok wakil ketua dpr hormat suka bgt nyampah gin sih,0
10,halo cinta bola bosan kalah main situs ayo coba untung sportbook bonus new member cashback komisi live casino bonus new member komisi slot games komisi bonus referral umur hidup,0
11,satu keluarga bom bunuh diri dia bosan hidup krn bunuh diri haram dlm islam lagi maaf bom bunuh diri keluarga aku kurang tau biar,0
12,terlalu lama duduk meja kerja sebab rasa bosan hinggap rasa kantuk tidak baik sehat,0
13,bila kali akhir pokok buah anda buah bosan hasil tanam hidup segan segan cari cari rahsia pokok bunga tumbuh riah sekarang tahu rahsia encik ibrahim ali,0
14,bosan main dengan robot dan admin coba saja main rajabandarqq dot com robot admin fair play games segera gabung dapat promo besar bonus rollingan tiap hari sekali bonus refferal besar umur hidup tanpa syarat apa,0
15,yang bosan hidup miskin nih cara biar jadi kaya solusikeuangan,0
16,bosan capek lelah nama hidup coy sempurna anda selalu merasaseperti tiap hari tiap saya solusi solusi cuma,0
17,bila aku bosan ajar aku bisik diri sndiri nasihat imam syafi lelah lah manis hidup asa lelah juang jangan serah serah arti tunda masa senang masa datang orang,0
18,ayo taufik maju sbg cawagub jgn korupsi apa gak bosan hidup penjara,0
19,mungkin semua orang begini punya pelihara salah satu cara kurang rasa sendiri murung bosan hidup anjing paling baik turut walaupun aku suka kucing,0
20,lagi nyari jodoh nih bosan hidup sendiri terus ken nyari teman hidup,0
21,pergi jahanam sama orang tidak ret gurau semua benda mahu ambil serius hidup kau nyata bosan,0
22,suatu bodoh apabila laku suatu salah sama ajar hidup cukup hari jadi jangan bosan terus ajar ajar akan hidup,0
23,indonesia negara kaya ragam hanya sedikit sekali alas bosan hidup dalam jika kamu pikir rasa hal yang sesuai rel janji,0
24,seperti apa moles tampil jelas rakyat sdh bosan dgn hidup sulit zaman rezim jokowi harga roket dollar roket usaha sulit anggur limpah,0
25,bosan hidup ilmuwan usia tahun ini ingin suntik mati,0
26,hidup sini yah lama bosan banget nget ngeeet terlalu datar gak drama org ngomongin agama sana sini banjir demo aneh hal viral lain,0
27,kenapa kamu bosan hidup karena kau punya tuju target mimpi usaha akuharusyakin,0
28,astagfirullah depan kamar kalau bangkai tikus bangkai apa hewan sudah bosan hidup blek mati depan duli hidung aku suka hirup udara,0
29,selamat harisumpahpemuda jangan jadi pemuda lemah read doang aja udah bosan hidup,0
30,hanya org bodoh blg bosan hidup rumah sakit byk orang sekarat juang utk tetap hidup,0
31,ini timeline lagi kayak siap mati semua bosan hidup apa gimana,0
32,temu passion jadi apa kamu ingin turut apa kata hati jika giat tidak dalam ingin akan cepat timbul rasa bosan diri jalan passion gaya hidup sesuai yang ingin,0
33,iyah abang ajak satu indonesia biar pecah rusuh smua orang bosan hidup,0
34,gapapa meni bukan semua orang tuju hidup untuk meni doang bosan,0
35,wakil ketua dpr gaji rakyat hasil kerja cuma begini hidup enak pernah kerja bosan jadi jilat,0
36,bosan pimpin rezim hidup susah harga roket hutang roket dollar roket,0
37,hidup juang juang diri sendiri lawan bosan lawan malas lawan capek lawan hal kecil mati lawan aja terus juang terus enggak pernah yang sia sia sekalipun asa sia sia kamu yakin,0
38,hidup pahit ada manis kalau gak mau pahit rasa manis kalau bosan manis rasa pahit pilih,0
39,kadang kadang hidup asa bosan apabila terlalu jaga hati orang asa lebih bosan bila orang tak pernah jaga hati,0
40,beri hidup dunia nyata seringkali bosan akhir sewa satu dunia deh dunia maya,0
41,apakah bosan hidup ayo ikut dengan pasti bosan,0
42,bosan landa hidup gulana tak terfikirkan cita entah bagaimana ini awal dewasa usaisenja,0
43,bosan hidup pak jgn jadi prabowo sbg sebab bapak mati kalo udah bosan hidup ngadu sama allah moga doa bapak kabul allah jgn titip dosa buat org negeri super sontoloyo,0
44,tanpa politik bosan hidup dok,0
45,dengan batang nikotin kopi buang rasa jenuh bosan karena semua tak penting buat hidup jadi seloow bei rokok praoe lajar,0
46,motivasi pagi jika bosan hidup tinggal lah hiya hiya hiya,0
47,anda bosan hidup,0
48,jangan bosan aku tak pernah bosan meski hidup sama puluh tahun,0
49,selamat pagi sang matahari tidak pernah bosan sari hidup aku umat lain,0
50,hidup arti apa apa sahabat quintus ennius,0
51,jika hidup anda jalan mudah arti anda jalan hidup arti lerry winget,0
52,mungkin ira diri tidak arti siapa mungkin ira diri tidak layak dapat semua baik datang hidup lama mungkin pernah salah nilai orang jadi mungkin kita juga salah nilai diri sendiri,0
53,hasil besar hidup bukan arti pernah jatuh bangkit kali jatuh,0
54,terimakasih karna ajar kuat meski hati sayat terima jelas jelas udah buat hidup kamu arti lalau lihat kuat meski ada makin sekarat usaha jujur meski hati udah jelas bakal hancur kamu kuat aku,0
55,kalaupun hidup tumpu salah laku terima arti lama hidup kita tidak pernah henti ajar,0
56,tidak perlu jadi siapa senang orang jadi diri sendiri kemudian laku baik bisa kamu laku jadi manfaat bahagia orang semangatt hidup sekali jadi arti mari contoh bapak,0
57,senyum wajah saya arti hidup saya sempurna tapi saya harga apa saya milik apa tuhan ikan saya,0
58,ingat waktu seperti sungai kita bisa sentuh air sama dua kali karena air telah alir terus lalu tidak pernah untuk buat hidup lebih arti selamat sore mendung,0
59,syukur apa yang dapat entah suka atau maka begitu arti sudah harga hidup sendiri,0
60,filipi karena bagi hidup kristus mati untung tetapi aku hidup dunia arti bagi kerja beri buah jadi mana harus pilih aku tahu,0
61,belum punya pasang hidup bukan arti bisa nikmat hidup,0
62,jika saya rasa tdk hal tarik hidup saya cerita itu arti saya kenal siapa diri saya mari renung,0
63,hormat makhluk hidup seluruh benda mati karena kalian tidak arti palnet bumi attitude,0
64,banyak anggap hidup hiv saya arti lemah tidak milik harap tetapi saya ingin patah semua pandang saya hidup hiv saya berani hadap segala tantang tahan,0
65,yang berat hidup hasil isi esensi bukan cari sensasi hasil tak selalu indah bahkan memang hasil pernah indah takut arti bisik manusiawi yang salah diri duli perhati diri kaca hati pikir rusak,0
66,jangan fokus sama apa kurang apa salah hidup kita lupa syukur apa sudah baik jadi bahagia sibuk komplain jadi saya kata hal baik hidup saya bukan arti isi cuma doang,0
67,hidup anda terima sempat arti utk bukti tuhan cipta anda sia,0
68,hidup anda terima sempat arti utk bukti tuhan cipta anda sia,0
69,petuah senja hari abdi negeri ajal jemput karena hidup cuman sekali buat lah jadi arti tidak penting jadi apa jadi apa penting asal manfaat untk negeri,0
70,tidak takut mati bukan arti cari mati namun senantiasa ingat mati karena hidup harga mati jadi selalu hati hati jaga hati hati tak mati,0
71,hidup bimbang tidak bebas arti surat surat belum lengkap,0
72,syukur apa yang dapat entah suka atau maka begitu arti sudah harga hidup sendiri,0
73,tidak yang mustahil dalam hidup lama mau kamu temu jalan kalau ada jalan arti jalan buntu,0
74,dunia indah salah maaf hindar parmaafan buat hidup lebih arti bagaimana baik maklum kekliruan seninsemangat,0
75,don consider your life meaningless never forget friend who clearly loves you jangan anggap hidup anda arti jangan pernah lupa teman jelas cinta,0
76,manusia akan hidup sendiri orang tidak arti selalu andal orang,0
77,rasa hidup pernah bahagia arti tidak pernah syukur,0
78,tidak perlu jadi siapa siapa senang orang jadi diri sendiri kemudian laku baik bisa kamu laku jadi manfaat orang semangat jadi arti hidup sekali,0
79,diskusi sama org lebih tua terus ngasih wejang aku rasa lebih pintar tau banyak hidup bukan arti didik lebih tinggi lantas aku tau banyak enggak wejang terima tetap saring gak tel mentah mentah,0
80,tidak mudah yakin tuk jadi orang arti hidup namun hasil temu maka kita akan tulus hati jaga,0
81,syukur apa yang dapat entah suka atau maka begitu arti sudah harga hidup sendiri,0
82,walaupun hidup mudah bukan arti serah tolong allah datang pernah duga semangat pagi,0
83,untuk kalian sudah nyerah ingat kalian sedang proses hidup proses kalau kalian bicara sabar harga diri arti kalian ego tinggi bukan masalah manusiawi tidak masalah jati diri yasudah,0
84,hanya beberapa jalan sesuai rencana bukan arti hidup kamu jadi tidak baik husnuzhan allah,0
85,semangat orang tua cerai bukan arti harus terus puruk jadi motivasi hidup depan lebih baik ambil ajar hal ini kelak keluarga ulang salah jadi ini semangat sender,0
86,hidup punya tuju kalau punya tuju arti hidup,0
87,tidak hal lebih buruk hilang orang pernah arti hidup jika orang pernah jadi senyum,0
88,minta bantu asing musibah arti lemah tak mampu beri sempat pihak untuk turut prihatin buat baik kita kita gak hidup sendiri dunia,0
89,beberapa orang anggap hidup arti bagi harap hidup agar baik diri,0
90,harta nyaman hidup arti apa tidak sadar semata beri titip allah mesti guna tunjang ibadah alhamdulillah,0
91,orang ingin hidup pasang karna mereka pasang hidup arti buat beban pikir,0
92,hanya belum raih mimpi bukan arti hidup anda arti hidup arti anda punya mimpi raih,0
93,hidup arti kalau bukan sendiri cari arti sulukjuli,0
94,hidup punya tuju kalau punya tuju arti hidup,0
95,syukur apa jadi hidup sungguh tiap lembar cerita ajar makna kita saling suka suka selalu arti sama,0
96,hidup sehat bukan arti pernah sakit tapi usaha baik mungkin tetap jadi sehat,0
97,satu persen arti hidup dong hehehehe yang rawan ada,0
98,tidak istilah kalah hidup saat gagal arti ada hasil sedang tunggu,0
99,syukur apa yang dapat entah suka atau maka begitu arti sudah harga hidup sendiri,0
100,harus bgt anjing mati lampu batre sekarat padahal mau pergi jogja astaga ingin kata kasar,0
101,juang sejati bukan ingin puji saudara masih peduli negeri terus juang negeri diri sendiri tentu mati jaga diri keluarga api neraka pesan islam juang lalu apa yang legal halal laku,0
102,aku ingin lihat orang yang penting mati hadap,0
103,ketika orang islam mati pasti ingin limut kalimah tahuid benderakuhanyasatu,0
104,malam malam ingin menang pasca lihat foto badak cula satu mati tembak cula ambil,0
105,kak shinichi datang walaupun mati oleh itu dia ingin kak ran tunggu conan edogawa,0
106,rindu sakit hari aku tdk lewat aku lewat aku ingin mati aku hidup smpai skrg knapa susah serah percaya mereka berterimakasih karna kamu tahan,0
107,aku ingin lihat orang sayang mati depan karena aku pernah hilang semu naruto sakura,0
108,ingin makan indomie sdh lama takut mati,0
109,jangan mati dulu mblo orang masih ingin lihat derita haha hoho,0
110,pakai uang pinjam online jika ingin mati pelan pelan,0
111,ingin mati saat org butuh kamu plis kei klo masalah cerita aku jgn buat mati jdi jalan keluar buat masalah kamu kamu bilang kya gin sama aja kamu peduli sama kamu sama org sayang sama kamu,0
112,kau hidup mati kau mati ingin hidup tidak hidup terus hidup tak yang hidup mandiri ayo sekolah,0
113,alhamdulillah keluarga utuh walaupun usaha mati total coba gak henti nya datang rumah tangga saja sukar bahkan sempat beberapa kali orang tua saya ingin pisah alhamdulillah tuhan sayang sama keluarga saya,0
114,semua orang pernah rasa jatuh ingin mati astagfirullah,0
115,bendera tauhid tulis kalimat suci bahkan semua orang sangat ingin ucap mati dan kalimat suci cukup simpan dalam hati,0
116,banyak orang ingin hidup lama cari kebahagian kebahagian sungguh ketika mati,0
117,selamat pagi semua moga hari buat ingin mati pluto,0
118,selamat pagi moga hari tak buat ingin mati,0
119,aku ingin lihat paham dunia luar aku tak mau mati dalam dinding tahu dunia luar eren jaeger shingeki kyojin,0
120,serah ingin mati arti hidup busuk bot,0
121,aku usaha diri ingin sekali coba peluk ibu tapi coba tebak apa lihat tubuh sendiri bujur kaku tempat tidur apa aku mati,0
122,saya ingin mati,0
123,tapi aku ingin mati walaupun berat,0
124,hingga mati ingin sama,0
125,jgn kata ingin milik dgn abadi aku mati kata cinta dgn abadi karna cinta tak mati,0
126,orang udah tinggal ingin hidup kamu ingin mati plis jangan tuhan kasih sempat kamu hidup tuhan ingin kamu capai apa jadi target kamu dunia,0
127,ingin mati jangan ada hilang siapa hilang aku misal dusta detected wkwk,0
128,ailsa sangat depresi ingin rasa dia mati sadar boleh egois ada hidup perut bisa menang panjang malam mata bengkak besar buah dukuh,0
129,hei kamu sedang susah hati asa jengah jalan hari senin selasa lagi paket orang tak kau cinta raga lelah ingin mati jangan,0
130,mba ingin saya mati,0
131,mungkin akhir macam yang aku lihat sekarang orang orang putus asa ingin coba bebas tindas tindas akhir ikut mati bawa arus layang layang udara aku bakal gitu tapi sisa benar benar sampah,0
132,dulu kala kau benci dunia rasa ingin mati siapa antar pada cahaya mentari senja trotoar cut nyak dien pikir,0
133,kamu ingin mati wahai anak mudah mati lah jadi henti suatu masalah kamu bunuh diri tahu kan dosa apa saya tahu kamu banyak masalah jangan berfikirin itu kamu tahu mati ada hidup yang mana bukan duniawi,0
134,mati tak kenal usia jika ingin taubat mula sekarang takut masa makin suntuk sungguh malaikat maut tak buat temu janji,0
135,jangan masuk peperangan bukan milik engkau ingin mati sia sia,0
136,andai waktu henti utara semua rasa tak ingin mati,0
137,ketika orang benar benar ingin mati dia tidak pikir hal yang nanti dia tinggal mereka akan penuh diri sendiri ujung ujung bibir angkat atas telapak tangan sentuh muka pipi orang mata,0
138,banyak orang ingin hidup lama cari kebahagian kebahagian sungguh ketika mati,0
139,semua orang ingin masuk surga banyak orang yang ingin mati,0
140,aku suka heran sama pasang muda mud bonceng sama sama pakai helm apa mrk janji cinta hidup semat ingin mati sama iya salah satu alas mrk tdk pakai helm kalo celaka kan resiko mati tinggi,0
141,ingin mandi ingin keramas aer kosan mati,0
142,sedang ingin rasa apa apa tapi gak mau mati atuh belum cukup bekel,0
143,hati mati asa ada otak fungsi saja aku ingin tidak tunjuk ekspresi aku sama seperti punya rasa sesal dalam hati seringkali rapuh otak selalu pikir banyak,0
144,mengapa orang orang rokok karena mereka ingin cepat mati,0
145,tidakkkkk aku belum ingin mati,0
146,walopun gue jarang gereja doa hati gue paling dalam aku ingin tetap peluk agama sampai aku mati,0
147,poin harga mati lau ingin juara,0
148,nikmat hidup kamu mati cinta siapa ingin kamu cinta pergi,0
149,tips para okok jangan takut mati bro lama korek tinggal nyalain aja aku ingin deh nyala hati savemukaboyolali,0
150,selamat pagi wahai perempuan sepi,0
151,tuan sepi tak punya teman hati rapuh lagak tangguh tuan nona sepi,0
152,positif aja dia sepi butuh kawan main,0
153,asa sepi picu respon sama otak rasa sakit fisik bbcnews,0
154,terkadang beri rasa sepi dalam kita lebih harga indah sama,0
155,sepi sungguh ketika kamu lagi mampu dengar suara hati sendiri isak keras,0
156,sepi sungguh adlh anda tdk mampu dengar suara hati sendiri isak keras,0
157,bulan sepi bintang tak,0
158,sendiri bukan arti sepi dan sepi bukan arti kamu sendiri,0
159,hari aku baru sadar kalo cuma dibutuhin waktu sepi aja,0
160,jika teman diri sendiri tak pernah sepi sulit sekali orang bicara saat hanya dengar diri sendiri,0
161,oke inti jangan rasa sepi kita msh punya allah swt,0
162,jangan pernah ngerasa sepi sini apa karena sekarang paspro opmem segera joinkan diri kalian pasukanproduce,0
163,karna bila orang nyaman sepi mereka mereka sadar apa mereka benar benar butuh,0
164,emang kamu situ sepi,0
165,gak sepi gitu gua gan,0
166,hujan hujan gin ken bikin puisi barangkali memang tak saling cinta barangkali hanya takut sepi,0
167,gausah lebih dia datang tuh cuma pas sepi doang,0
168,ketika semua orang perlahan pergi tak perlu sedih tak perlu rasa sepi anggap milik siapa ingat satu ini allah sama quotesoftheday,0
169,makin maju era digital makin mudah orang komunikasi seluruh dunia tapi makin banyak orang sepi,0
170,sendiri bukan arti sepi enak jadi independen,0
171,jangan sedih sedang sepi tuhan selalu hati,0
172,manusia tak kan pernah menang rasa sepi,0
173,sheila pria sepi,0
174,teman orang selamat neraka nama sepi,0
175,bagus tak mau kau sepi,0
176,tuhan memang luar biasa kuasa cipta lelaki wanita pasang tidak sepi dalam hidup masing masing hidup,0
177,suka bingung sama orang sepi alhamdulilah lama imfeelin good dan kalo jadi sepi krn gada tempat cerita kamu bicara sama tuhan just believe heart and ahead,0
178,rasa sepi landa dia lagi jadi anak laki laki enam belas tahun sendiri tempat asing,0
179,sorry bro gue sepi,0
180,hati hati ini efek negatif sepi buat sehat gan forumkaskus via kaskus,0
181,orang sepi dia pura pura baik baik,0
182,org lama sepi bahaya cenderung temprament sgt egois,0
183,ketika kamu lelah minta kuat tuhan ketika kamu tiada kata bicara tuhan ketika kamu sepi tuhan,0
184,terkadang beri rasa sepi dalam kita lebih harga indah sama,0
185,buah studi sebut sepi kali lebih bunuh obesitas,0
186,teliti ungkap sepi dapat rusak struktur dasar otak pengaruh fungsi,0
187,sepi hanya buah sugesti kamu mnghargai orang benar mncintaimu mlupakan dia kecewa sepi hilang,0
188,bagi lama sering rasa sepi coba deh lebih rutin laku ini,0
189,barangkali sepi cipta tuhan ruang lengang tempat kenang datang tandang,0
190,baca buku dengar audio book cara signifikan kurang rasa sepi bantu reda isolasi sosial,0
191,bahagia nggak melulu dua ketika sendiri nggak ngerasa sepi bahagia kok,0
192,orang sepi dia pura pura baik baik,0
193,kadang orang selalu senyum lihat bahagia orang paling sepi,0
194,orang sepi butuh cinta luka tidak luka butuh cinta,0
195,balik quran insha allah tidak rasa sepi,0
196,cara kurang rasa sepi sendiri arti manfaat orang dengan cara take action and giving value,0
197,bahagia hilang sepi sedih luka derita tawa semua saling hubung bentuk suatu siklus hidup akan selalu ulang,0
198,ken karaoke temen ajak mau kalo sendiri liat sepi bgt sii,0
199,saya ucap selamat tidur utk jiwa jiwa sepi,0
200,cara cepat ubah hidup amat sangat sederhana mulai tunda coba mulai tetap lah jalan ketika yang lain sudah mulai lelah lang,0
201,hujan sedang turun cukup deras namun damai sedang istirahat lepas lelah hadap hidup keras,0
202,selalu pilih hidup asa berat padat terlalu tekan pilih tangan juang kenal lelah sibuk rasa diri mampu keluh,0
203,hidup lelah hidup terlalu pikir apa kata orang,0
204,hidup mudah kalau kamu serius serius kalau kamu sedang lelah libur kalau pekerjaanya enak keluar perlu sampe marah konsumen juga capek gerus waktu jalan ingin makan enak ngumpulin uang makan,0
205,hidup lucu cari hilang kejar lari tunggu pergi hari lelah serah itu semesta kerja beberapa hadir dal rupa sama beberapa jauh lebih baik rencana sang cipta memang baik sekali,0
206,dulu kecil gua pikir resin main giat paling lelah kmaren gua pikir resin file foto footage giat paling lelah malem saya baru ngerasain nama benerin margin satu kejut hidup,0
207,jangan pernah kamu rasa lelah jalan hidup semangat bangkit lari bukti,0
208,jangan lelah juang kita punya banyak sekali potensi mampu untuk hidup bukan dar balas kasihan,0
209,lelah iya gak papa nama hidup penting gak henti harap usaha,0
210,terimakasih udah juang lelah selamat atas semua capai udah raih inget jangan terlalu cepet bangga mimpi banyak you deserve this damn whole world ayo terus lanjutin hidup bahagia makasih udh bikin usaha gua belakang sia,0
211,dalam hidup kamu rasa lelah kecewa tahu saat kamu tengah ajar sungguh,0
212,samaa nder malah udah turun gabisa naik terkadang aku lelah bilang tengkorak hidup,0
213,ajar tak pernah henti kerja tak pernah lelah karena hidup sungguh selalu putar yang tak siap gilas zaman,0
214,kamu melewatinnya nder semua bisa kok jangan lelah sama dunia lelah sama semua jangan lelah sama hidup kamu sendiri kalau memang self harm lampias beban hidup jangan ikan orang apalagi ayah kamu luka hati,0
215,gue lelah deh rey main hidup,0
216,lelah hati lelah bayang aku jengah hidup sama kenang kau ingat entah pelangipuisi,0
217,mangkanya motto hidup gua tadi mainstream banget ubah jadi jika lelah istirahat tapi jangan serah apalagi henti tengah tengah,0
218,hidup penuh juang bukan hidup tidak tantang saat mulai lelah ngantuk saat ngupi,0
219,hidup memang tak mudah jika kamu terus juang lelah akhir indah selalu tunggu tuk kamu sapa,0
220,mau ngeluh lelah gimana nama hidup masa mau neng mulu,0
221,tuduh tampang pki tampang opm tampang teroris tampang kriminal tampang koruptor wajar berat marah tapi bilang tampang tempat tinggal lalu singgung mungkin terlalu lelah jalan hidup rasa wajib piknik itu aja sih,0
222,karna rasa lelah pikir hadap realita hidup resah khawatir hilang dgn upaya ibadah syukur,0
223,jangan pernah lelah semua karena hidup jalan bukan lari,0
224,tahu agnes rokok rasa lelah hidup,0
225,lelah pasti hidup dunia nyata bukan mimpi jika kita lelah apa buat,0
226,jika kamu letih lelah kecewa hidup sabar karna ini awal ubah utk jadi orang menang,0
227,hidup memang tak mudah jika kamu terus juang lelah akhir indah selalu tunggu kamu sapa,0
228,lelah manusiawi bukan buah alas lelah kita hidup terus gerak berfikir,0
